comment,replies,user_name,date,likes
Hace un golpe Kaiser y ctm,[],@pabloromero1801,2025-11-12T23:29:54Z,0
Chantisi! Fuera!,[],@Arcl33,2025-11-12T21:47:00Z,0
KAST NO ME DA CONFIANZA PORQUE YA SE DIO VUELTA LA CHAQUETA Y SE PUSO MUY BLANDENGUE AHORA SOLO LE QUEDA LA IMAGEN DE DURO NADA MÁS,[],@agustintaker3396,2025-11-12T21:42:02Z,1
"Ominami es un payaso, ( cero argumentos e informacion de puntos que a hablado claramente candidatos  como Kaiser)que trite que haga campaña para recibir plata, por que ni la mamá lo sigue... KAISER gobierna bien",[],@elizabethangel82,2025-11-12T20:50:55Z,0
"No hay libertad para distribución de energía ni gas... cuando Carter habló de liberar la venta de gas para ""galones"" ahí se quedaron pegados en la burla, él estaba hablando de los ""súper balones"", los que instalas dentro de tu casa y que lo abastecen camiones... AHÍ TAMPOCO PUEDED ELEGIR LA CÍA (cero competencia)",[],@ferc8333,2025-11-12T20:21:06Z,0
Kast se vistió de teflón para el debate...,[],@ferc8333,2025-11-12T20:14:48Z,1
"Sra. Facha, estamos obligados a votar y asi pagarles el sueldo. No votar. A la calle🎉🎉",[],@alvaroleiva2682,2025-11-12T20:07:10Z,0
Jara: “en ese minuto apoyé los retiros porque la gente no tenía para comer” FALSO. Buenas tv OLED comieron al parecer.,[],@marcos.troncoso21,2025-11-12T20:06:11Z,0
No votar. Cabildo y asamblea constituyente!,[],@alvaroleiva2682,2025-11-12T20:05:36Z,0
"Eso de que no hay muchas cosas que duren paradas tanto tiempo, lo asocié a que al final si no se mueve se cae... (onda, lo que es malo no avanza, no merece el tiempo, cae en el olvido) pero ahora que dicen lo del doble sentido 😅 no sé politica y lo otro... la pura p
O que los políticos son como el p...o 😅😅😅",[],@ferc8333,2025-11-12T20:01:08Z,0
Grande Harold!!,[],@MartinA.I.MannO.,2025-11-12T19:43:37Z,1
🎉circo...donde estudiaron periodismo estos profesionales de l espectáculo. 😢😢triste chile. Ysi organizados no se va a votar! En masa y dejar claro que se vayan todos!.,[],@alvaroleiva2682,2025-11-12T19:37:45Z,0
"El Parisi no sabe que las pantallas son el peor medio de aprendizaje?
Ni Gate deja que sus hijos usen pantallas.",[],@ferc8333,2025-11-12T19:28:21Z,0
"Salud mental... El ISP reconoce al aripiprazol como un medicamento que puede provocar compulsión (a las compras, a la violencia, INCLUIDO EN JUEGO) sin embargo el sistema público lo receta existiendo otros que lo pueden reemplazar y con mejores resultados, pero la platita manda)",[],@ferc8333,2025-11-12T19:27:30Z,0
